;Index,County,YEAR,HH,HH_Pop,HH_Size,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,CoName
32007,3,2007,8071,24744,3.07,14688,1398,924,3035,513,860,2028,1257,2685,345,23,1043,578,Box Elder County
32008,3,2008,8226,25122,3.05,14857,1406,937,2971,532,867,2072,1289,2775,343,23,1060,584,Box Elder County
32009,3,2009,8380,25500,3.04,14233,1337,900,2753,522,828,2004,1253,2714,324,21,1019,560,Box Elder County
32010,3,2010,8549,25860,3.02,13476,1259,854,2519,506,781,1915,1201,2622,302,19,969,530,Box Elder County
32011,3,2011,8889,26150,2.94,13188,1222,828,2453,501,767,1862,1189,2559,286,18,981,523,Box Elder County
32012,3,2012,9059,26922,2.97,13148,1209,829,2430,505,765,1841,1179,2542,276,17,1037,517,Box Elder County
32013,3,2013,9228,27257,2.95,13485,1233,847,2488,526,789,1882,1211,2609,276,17,1082,527,Box Elder County
32014,3,2014,9390,27510,2.93,13923,1268,870,2565,550,819,1937,1251,2695,277,17,1133,541,Box Elder County
32015,3,2015,9741,27875,2.86,14584,1321,904,2676,607,860,2018,1307,2819,282,17,1199,574,Box Elder County
32016,3,2016,9981,28973,2.9,14957,1355,913,2752,658,879,2071,1330,2904,282,17,1208,588,Box Elder County
32017,3,2017,10194,29424,2.89,15389,1382,931,2881,709,895,2083,1364,2978,282,17,1270,600,Box Elder County
32018,3,2018,10423,29895,2.87,15707,1408,946,2939,733,907,2122,1376,3044,280,16,1329,608,Box Elder County
32019,3,2019,10644,30365,2.85,16010,1431,960,2992,783,929,2157,1403,3058,278,16,1385,618,Box Elder County
32020,3,2020,10856,30810,2.84,16303,1451,972,3040,834,937,2189,1409,3113,275,16,1440,626,Box Elder County
32021,3,2021,11085,31241,2.82,16682,1494,984,3062,858,963,2221,1434,3178,273,16,1566,634,Box Elder County
32022,3,2022,11499,31639,2.75,17062,1508,994,3150,911,987,2252,1457,3240,270,16,1621,655,Box Elder County
32023,3,2023,11702,32600,2.79,17353,1523,1005,3168,965,1011,2282,1479,3301,267,16,1676,661,Box Elder County
32024,3,2024,11895,32947,2.77,17609,1536,1014,3184,989,1034,2311,1502,3362,264,16,1731,668,Box Elder County
32025,3,2025,12080,33273,2.75,17891,1548,1023,3199,1044,1057,2339,1523,3420,261,16,1784,677,Box Elder County
32026,3,2026,12274,33618,2.74,18137,1561,1032,3213,1068,1081,2367,1544,3479,258,16,1837,683,Box Elder County
32027,3,2027,12467,33961,2.72,18415,1572,1041,3227,1126,1104,2394,1565,3536,254,16,1890,689,Box Elder County
32028,3,2028,12660,34315,2.71,18668,1584,1049,3240,1185,1127,2420,1564,3593,251,16,1942,697,Box Elder County
32029,3,2029,12849,34676,2.7,18963,1595,1058,3324,1210,1135,2446,1585,3649,247,15,1995,703,Box Elder County
32030,3,2030,13278,35044,2.64,19245,1607,1067,3335,1271,1157,2472,1604,3704,244,15,2047,723,Box Elder County
32031,3,2031,13479,35411,2.63,19394,1619,1059,3338,1295,1182,2498,1621,3765,241,15,2032,729,Box Elder County
32032,3,2032,13679,35780,2.62,19621,1632,1069,3339,1320,1210,2523,1636,3825,238,15,2080,735,Box Elder County
32033,3,2033,13876,36805,2.65,19882,1645,1077,3340,1382,1235,2547,1651,3884,235,15,2128,743,Box Elder County
32034,3,2034,14085,37182,2.64,20135,1656,1086,3340,1407,1261,2571,1666,3942,232,15,2211,750,Box Elder County
32035,3,2035,14283,37554,2.63,20277,1668,1094,3339,1431,1270,2594,1658,3999,229,15,2223,758,Box Elder County
32036,3,2036,14480,37922,2.62,20447,1679,1102,3338,1454,1295,2576,1672,4057,226,15,2269,763,Box Elder County
32037,3,2037,14678,38294,2.61,20697,1689,1110,3337,1520,1319,2598,1686,4114,223,15,2316,770,Box Elder County
32038,3,2038,14871,38667,2.6,20769,1701,1119,3263,1544,1344,2620,1700,4106,220,15,2362,776,Box Elder County
32039,3,2039,15051,39043,2.59,20975,1712,1126,3261,1568,1367,2643,1714,4161,217,15,2408,782,Box Elder County
32040,3,2040,15246,39420,2.59,21180,1723,1134,3259,1592,1393,2665,1727,4215,214,15,2454,789,Box Elder County
32041,3,2041,15428,39796,2.58,20941,1734,1143,3253,1615,1404,2686,1714,4275,212,15,2094,797,Box Elder County
32042,3,2042,15604,40172,2.57,21091,1714,1134,3245,1638,1434,2707,1725,4334,210,15,2129,805,Box Elder County
32043,3,2043,15779,40543,2.57,21247,1725,1142,3239,1662,1463,2729,1736,4394,209,15,2123,812,Box Elder County
32044,3,2044,15943,40910,2.57,21311,1735,1150,3232,1685,1474,2705,1747,4383,207,15,2158,820,Box Elder County
