,scenarioID,tdmVersion,tdmVersionWithDate,scenarioName,scenarioGroup,scenarioYear,PERIOD,TRIPPURP,MODE,TRIPS,modeGroup
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,BY_2019,BY,2019,DY,ALL,TRANSIT,121321,4: Transit
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,TIP_2024,TIP,2024,DY,ALL,TRANSIT,140408,4: Transit
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,RTP_2030,RTP,2030,DY,ALL,TRANSIT,174053,4: Transit
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,RTP_2040,RTP,2040,DY,ALL,TRANSIT,207976,4: Transit
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,RTP_2050,RTP,2050,DY,ALL,TRANSIT,258408,4: Transit
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,BY_2019,BY,2019,DY,ALL,CRT,20993,4f: Commuter-Rail Transit
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,TIP_2024,TIP,2024,DY,ALL,CRT,24957,4f: Commuter-Rail Transit
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,RTP_2030,RTP,2030,DY,ALL,CRT,28884,4f: Commuter-Rail Transit
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,RTP_2040,RTP,2040,DY,ALL,CRT,37506,4f: Commuter-Rail Transit
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,RTP_2050,RTP,2050,DY,ALL,CRT,49818,4f: Commuter-Rail Transit
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,BY_2019,BY,2019,DY,ALL,LRT,48534,4e: Light-Rail Transit
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,TIP_2024,TIP,2024,DY,ALL,LRT,49670,4e: Light-Rail Transit
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,RTP_2030,RTP,2030,DY,ALL,LRT,47393,4e: Light-Rail Transit
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,RTP_2040,RTP,2040,DY,ALL,LRT,59386,4e: Light-Rail Transit
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,RTP_2050,RTP,2050,DY,ALL,LRT,81268,4e: Light-Rail Transit
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,BY_2019,BY,2019,DY,ALL,BRT,10572,4d: Bus-Rapid Transit
