;Index,CO_FIPS,YEAR,TOTPOP,POP_00_17,POP_18_64,POP_65P,CO_NAME
12010,1,2010,6643,2250,3559,834,BEAVER
12011,1,2011,6658,2242,3602,813,BEAVER
12012,1,2012,6670,2217,3610,843,BEAVER
12013,1,2013,6754,2238,3658,857,BEAVER
12014,1,2014,6661,2179,3598,884,BEAVER
12015,1,2015,6710,2199,3619,892,BEAVER
12016,1,2016,6782,2192,3654,936,BEAVER
12017,1,2017,6850,2195,3688,967,BEAVER
12018,1,2018,6935,2201,3739,995,BEAVER
12019,1,2019,7015,2209,3786,1020,BEAVER
12020,1,2020,7082,2219,3809,1054,BEAVER
12021,1,2021,7152,2215,3831,1106,BEAVER
12022,1,2022,7221,2204,3859,1159,BEAVER
12023,1,2023,7291,2203,3887,1201,BEAVER
12024,1,2024,7353,2199,3931,1224,BEAVER
12025,1,2025,7408,2201,3952,1255,BEAVER
12026,1,2026,7464,2183,3993,1287,BEAVER
12027,1,2027,7516,2170,4035,1311,BEAVER
12028,1,2028,7570,2151,4084,1335,BEAVER
12029,1,2029,7625,2144,4128,1353,BEAVER
12030,1,2030,7687,2147,4169,1370,BEAVER
12031,1,2031,7749,2154,4219,1376,BEAVER
12032,1,2032,7816,2178,4255,1383,BEAVER
12033,1,2033,7883,2189,4298,1395,BEAVER
12034,1,2034,7950,2212,4323,1415,BEAVER
12035,1,2035,8017,2232,4350,1435,BEAVER
12036,1,2036,8083,2251,4376,1456,BEAVER
12037,1,2037,8147,2269,4406,1472,BEAVER
12038,1,2038,8210,2286,4441,1482,BEAVER
12039,1,2039,8270,2301,4474,1494,BEAVER
12040,1,2040,8328,2315,4502,1512,BEAVER
12041,1,2041,8386,2327,4521,1538,BEAVER
12042,1,2042,8443,2339,4539,1566,BEAVER
12043,1,2043,8499,2349,4558,1591,BEAVER
12044,1,2044,8554,2358,4576,1620,BEAVER
12045,1,2045,8606,2366,4583,1657,BEAVER
12046,1,2046,8656,2372,4594,1690,BEAVER
12047,1,2047,8704,2377,4610,1717,BEAVER
12048,1,2048,8749,2380,4631,1738,BEAVER
12049,1,2049,8794,2382,4651,1761,BEAVER
12050,1,2050,8838,2383,4669,1786,BEAVER
12051,1,2051,8882,2384,4701,1798,BEAVER
12052,1,2052,8927,2384,4738,1804,BEAVER
12053,1,2053,8972,2385,4790,1797,BEAVER
12054,1,2054,9019,2387,4835,1797,BEAVER
12055,1,2055,9068,2391,4866,1811,BEAVER
12056,1,2056,9120,2396,4873,1851,BEAVER
12057,1,2057,9174,2403,4880,1891,BEAVER
12058,1,2058,9230,2412,4885,1933,BEAVER
12059,1,2059,9288,2422,4897,1969,BEAVER
12060,1,2060,9348,2434,4921,1992,BEAVER
12061,1,2061,9408,2447,4936,2025,BEAVER
12062,1,2062,9469,2461,4952,2056,BEAVER
12063,1,2063,9530,2475,4968,2086,BEAVER
12064,1,2064,9589,2489,4992,2108,BEAVER
12065,1,2065,9649,2504,5010,2135,BEAVER
32010,3,2010,50067,16970,27524,5573,BOX ELDER
32011,3,2011,50640,17016,27954,5670,BOX ELDER
32012,3,2012,51155,17033,28257,5865,BOX ELDER
32013,3,2013,51794,17126,28630,6038,BOX ELDER
32014,3,2014,52280,17237,28806,6237,BOX ELDER
32015,3,2015,52971,17398,29209,6364,BOX ELDER
32016,3,2016,54038,17635,29760,6644,BOX ELDER
32017,3,2017,54885,17764,30175,6946,BOX ELDER
32018,3,2018,55770,17913,30579,7278,BOX ELDER
32019,3,2019,56648,18069,30973,7606,BOX ELDER
32020,3,2020,57479,18172,31377,7930,BOX ELDER
32021,3,2021,58292,18251,31745,8295,BOX ELDER
32022,3,2022,59042,18297,32067,8678,BOX ELDER
32023,3,2023,59735,18282,32374,9080,BOX ELDER
32024,3,2024,60380,18218,32731,9431,BOX ELDER
32025,3,2025,60984,18125,33072,9787,BOX ELDER
32026,3,2026,61622,18057,33448,10118,BOX ELDER
32027,3,2027,62258,18010,33819,10430,BOX ELDER
32028,3,2028,62912,17999,34223,10691,BOX ELDER
32029,3,2029,63581,18046,34617,10919,BOX ELDER
32030,3,2030,64263,18160,35002,11101,BOX ELDER
32031,3,2031,64940,18275,35418,11247,BOX ELDER
