;Index,CO_FIPS,YEAR,TOTPOP,POP_00_17,POP_18_64,POP_65P,CO_NAME
32032,3,2032,65623,18402,35808,11413,BOX ELDER
32033,3,2033,66307,18500,36221,11586,BOX ELDER
32034,3,2034,66988,18627,36625,11736,BOX ELDER
32035,3,2035,67664,18757,36993,11915,BOX ELDER
32036,3,2036,68338,18896,37345,12097,BOX ELDER
32037,3,2037,69015,19043,37706,12266,BOX ELDER
32038,3,2038,69696,19197,38062,12437,BOX ELDER
32039,3,2039,70380,19357,38374,12649,BOX ELDER
32040,3,2040,71065,19518,38633,12914,BOX ELDER
32041,3,2041,71753,19680,38881,13192,BOX ELDER
32042,3,2042,72440,19838,39084,13518,BOX ELDER
32043,3,2043,73119,19991,39228,13901,BOX ELDER
32044,3,2044,73787,20134,39409,14244,BOX ELDER
32045,3,2045,74440,20264,39590,14586,BOX ELDER
32046,3,2046,75076,20380,39749,14947,BOX ELDER
32047,3,2047,75694,20480,39918,15296,BOX ELDER
32048,3,2048,76299,20566,40139,15593,BOX ELDER
32049,3,2049,76892,20639,40371,15882,BOX ELDER
32050,3,2050,77472,20699,40594,16179,BOX ELDER
32051,3,2051,78053,20756,40885,16412,BOX ELDER
32052,3,2052,78628,20806,41189,16632,BOX ELDER
32053,3,2053,79197,20855,41484,16858,BOX ELDER
32054,3,2054,79765,20903,41757,17104,BOX ELDER
32055,3,2055,80334,20956,41983,17395,BOX ELDER
32056,3,2056,80906,21014,42198,17694,BOX ELDER
32057,3,2057,81483,21080,42432,17971,BOX ELDER
32058,3,2058,82067,21156,42648,18263,BOX ELDER
32059,3,2059,82657,21242,42913,18502,BOX ELDER
32060,3,2060,83248,21338,43203,18707,BOX ELDER
32061,3,2061,83842,21444,43507,18892,BOX ELDER
32062,3,2062,84440,21559,43726,19155,BOX ELDER
32063,3,2063,85037,21683,44005,19349,BOX ELDER
32064,3,2064,85628,21813,44275,19540,BOX ELDER
32065,3,2065,86218,21949,44532,19737,BOX ELDER
52010,5,2010,113307,35930,68634,8744,CACHE
52011,5,2011,115004,36706,69365,8933,CACHE
52012,5,2012,116404,37070,69959,9376,CACHE
52013,5,2013,117598,37409,70539,9649,CACHE
52014,5,2014,118872,37693,71060,10119,CACHE
52015,5,2015,121855,38562,72715,10578,CACHE
52016,5,2016,123907,38912,73921,11074,CACHE
52017,5,2017,126268,39232,75321,11715,CACHE
52018,5,2018,128685,39568,76714,12403,CACHE
52019,5,2019,131141,39919,78102,13120,CACHE
52020,5,2020,133601,40267,79530,13804,CACHE
52021,5,2021,136132,40607,81003,14521,CACHE
52022,5,2022,138685,40984,82478,15224,CACHE
52023,5,2023,141251,41368,83996,15887,CACHE
52024,5,2024,143811,41877,85392,16541,CACHE
52025,5,2025,146338,42399,86769,17170,CACHE
52026,5,2026,148818,42943,88123,17753,CACHE
52027,5,2027,151276,43484,89487,18305,CACHE
52028,5,2028,153771,44014,90943,18815,CACHE
52029,5,2029,156278,44540,92469,19269,CACHE
52030,5,2030,158815,45256,93875,19684,CACHE
52031,5,2031,161376,45955,95349,20072,CACHE
52032,5,2032,163978,46733,96785,20460,CACHE
52033,5,2033,166631,47566,98256,20810,CACHE
52034,5,2034,169303,48479,99592,21233,CACHE
52035,5,2035,171969,49483,100808,21678,CACHE
52036,5,2036,174610,50468,102000,22142,CACHE
52037,5,2037,177208,51417,103231,22559,CACHE
52038,5,2038,179753,52316,104481,22956,CACHE
52039,5,2039,182230,53149,105715,23365,CACHE
52040,5,2040,184635,53912,106896,23827,CACHE
52041,5,2041,186958,54593,108003,24362,CACHE
52042,5,2042,189190,55190,109063,24937,CACHE
52043,5,2043,191329,55701,110134,25494,CACHE
52044,5,2044,193375,56130,111290,25955,CACHE
52045,5,2045,195325,56477,112595,26254,CACHE
52046,5,2046,197193,56750,113949,26495,CACHE
52047,5,2047,198989,56959,115385,26644,CACHE
52048,5,2048,200727,57121,116867,26739,CACHE
52049,5,2049,202426,57247,118370,26809,CACHE
52050,5,2050,204114,57353,119883,26878,CACHE
52051,5,2051,205814,57461,121474,26880,CACHE
52052,5,2052,207531,57575,123037,26920,CACHE
52053,5,2053,209277,57708,124558,27011,CACHE
52054,5,2054,211065,57871,126011,27183,CACHE
52055,5,2055,212908,58072,127352,27484,CACHE
52056,5,2056,214817,58321,128599,27897,CACHE
52057,5,2057,216799,58624,129771,28404,CACHE
52058,5,2058,218852,58985,131036,28830,CACHE
52059,5,2059,220973,59406,132273,29293,CACHE
52060,5,2060,223154,59883,133506,29765,CACHE
52061,5,2061,225387,60410,134597,30380,CACHE
52062,5,2062,227674,60987,135582,31105,CACHE
52063,5,2063,230003,61604,136665,31734,CACHE
52064,5,2064,232363,62250,137743,32371,CACHE
52065,5,2065,234744,62914,138780,33051,CACHE
72010,7,2010,21419,5732,12782,2905,CARBON
72011,7,2011,21505,5784,12791,2930,CARBON
72012,7,2012,21590,5819,12739,3032,CARBON
72013,7,2013,21340,5784,12496,3061,CARBON
72014,7,2014,21201,5725,12299,3178,CARBON
72015,7,2015,21164,5715,12214,3235,CARBON
72016,7,2016,21188,5703,12159,3327,CARBON
72017,7,2017,21602,5826,12332,3443,CARBON
72018,7,2018,22035,5963,12505,3567,CARBON
72019,7,2019,22444,6080,12647,3717,CARBON
72020,7,2020,22806,6189,12746,3872,CARBON
72021,7,2021,23162,6281,12850,4031,CARBON
72022,7,2022,23496,6345,12945,4206,CARBON
72023,7,2023,23800,6385,13059,4356,CARBON
72024,7,2024,24083,6414,13171,4498,CARBON
72025,7,2025,24343,6402,13318,4624,CARBON
72026,7,2026,24620,6413,13465,4742,CARBON
72027,7,2027,24884,6423,13619,4843,CARBON
72028,7,2028,25137,6447,13755,4935,CARBON
72029,7,2029,25379,6458,13925,4995,CARBON
72030,7,2030,25628,6472,14111,5045,CARBON
72031,7,2031,25882,6487,14324,5070,CARBON
72032,7,2032,26141,6558,14496,5087,CARBON
72033,7,2033,26394,6633,14654,5106,CARBON
72034,7,2034,26636,6711,14805,5121,CARBON
72035,7,2035,26870,6750,14965,5155,CARBON
72036,7,2036,27096,6784,15098,5214,CARBON
72037,7,2037,27315,6818,15242,5254,CARBON
72038,7,2038,27531,6854,15380,5296,CARBON
72039,7,2039,27745,6894,15513,5338,CARBON
72040,7,2040,27961,6938,15621,5401,CARBON
72041,7,2041,28180,6987,15729,5464,CARBON
72042,7,2042,28403,7039,15807,5558,CARBON
72043,7,2043,28625,7090,15874,5661,CARBON
72044,7,2044,28848,7141,15921,5786,CARBON
72045,7,2045,29069,7190,15960,5919,CARBON
72046,7,2046,29290,7237,15988,6065,CARBON
72047,7,2047,29508,7281,16017,6211,CARBON
72048,7,2048,29726,7321,16042,6363,CARBON
72049,7,2049,29943,7358,16092,6492,CARBON
72050,7,2050,30159,7393,16167,6599,CARBON
72051,7,2051,30378,7428,16243,6707,CARBON
72052,7,2052,30597,7460,16309,6828,CARBON
72053,7,2053,30813,7490,16341,6982,CARBON
72054,7,2054,31028,7518,16384,7126,CARBON
72055,7,2055,31240,7547,16412,7281,CARBON
72056,7,2056,31449,7575,16466,7408,CARBON
72057,7,2057,31655,7603,16557,7495,CARBON
72058,7,2058,31858,7630,16675,7552,CARBON
72059,7,2059,32055,7656,16794,7605,CARBON
72060,7,2060,32249,7682,16926,7641,CARBON
72061,7,2061,32439,7708,17043,7688,CARBON
72062,7,2062,32624,7734,17152,7738,CARBON
72063,7,2063,32803,7761,17268,7774,CARBON
72064,7,2064,32977,7787,17376,7814,CARBON
72065,7,2065,33144,7813,17480,7851,CARBON
92010,9,2010,1078,253,620,205,DAGGETT
92011,9,2011,1109,259,632,218,DAGGETT
92012,9,2012,1114,252,634,228,DAGGETT
92013,9,2013,1157,272,660,224,DAGGETT
92014,9,2014,1113,255,622,236,DAGGETT
92015,9,2015,1113,260,620,233,DAGGETT
92016,9,2016,1103,250,602,250,DAGGETT
92017,9,2017,1119,255,600,264,DAGGETT
92018,9,2018,1136,261,603,272,DAGGETT
92019,9,2019,1150,266,603,281,DAGGETT
92020,9,2020,1164,271,608,285,DAGGETT
92021,9,2021,1179,271,620,287,DAGGETT
92022,9,2022,1194,274,628,292,DAGGETT
92023,9,2023,1207,278,636,292,DAGGETT
92024,9,2024,1219,283,639,298,DAGGETT
92025,9,2025,1232,283,641,309,DAGGETT
92026,9,2026,1245,286,640,319,DAGGETT
92027,9,2027,1258,292,641,325,DAGGETT
92028,9,2028,1273,293,655,325,DAGGETT
92029,9,2029,1288,300,662,325,DAGGETT
92030,9,2030,1304,313,669,322,DAGGETT
92031,9,2031,1320,321,680,320,DAGGETT
92032,9,2032,1338,334,685,319,DAGGETT
92033,9,2033,1356,346,693,316,DAGGETT
92034,9,2034,1372,361,696,315,DAGGETT
92035,9,2035,1387,370,703,314,DAGGETT
92036,9,2036,1400,378,710,313,DAGGETT
92037,9,2037,1413,384,715,314,DAGGETT
92038,9,2038,1425,390,720,315,DAGGETT
92039,9,2039,1436,396,727,314,DAGGETT
92040,9,2040,1448,401,732,315,DAGGETT
92041,9,2041,1459,406,741,312,DAGGETT
92042,9,2042,1470,411,748,312,DAGGETT
92043,9,2043,1481,415,746,320,DAGGETT
92044,9,2044,1491,419,747,325,DAGGETT
92045,9,2045,1502,423,750,329,DAGGETT
92046,9,2046,1512,426,754,331,DAGGETT
92047,9,2047,1522,429,760,333,DAGGETT
92048,9,2048,1532,432,762,338,DAGGETT
92049,9,2049,1542,435,764,343,DAGGETT
92050,9,2050,1551,437,770,344,DAGGETT
92051,9,2051,1561,440,775,346,DAGGETT
92052,9,2052,1571,444,780,347,DAGGETT
92053,9,2053,1581,448,792,341,DAGGETT
92054,9,2054,1592,452,808,332,DAGGETT
92055,9,2055,1603,457,822,323,DAGGETT
92056,9,2056,1614,462,836,315,DAGGETT
92057,9,2057,1625,468,848,309,DAGGETT
92058,9,2058,1637,474,855,308,DAGGETT
92059,9,2059,1649,480,856,314,DAGGETT
92060,9,2060,1662,486,860,316,DAGGETT
92061,9,2061,1674,491,865,318,DAGGETT
92062,9,2062,1686,497,872,317,DAGGETT
92063,9,2063,1698,502,879,317,DAGGETT
92064,9,2064,1711,507,886,318,DAGGETT
92065,9,2065,1723,512,892,319,DAGGETT
112010,11,2010,307625,105710,176830,25085,DAVIS
112011,11,2011,313280,107093,180104,26082,DAVIS
112012,11,2012,318476,108384,182562,27531,DAVIS
112013,11,2013,324407,110042,185626,28739,DAVIS
112014,11,2014,329833,111498,188271,30064,DAVIS
112015,11,2015,336091,113143,191773,31175,DAVIS
112016,11,2016,342645,114426,195747,32473,DAVIS
112017,11,2017,348281,115013,198967,34301,DAVIS
112018,11,2018,354129,115691,202198,36240,DAVIS
112019,11,2019,359674,116126,205343,38205,DAVIS
112020,11,2020,364813,116408,208218,40187,DAVIS
112021,11,2021,369757,116246,211192,42319,DAVIS
112022,11,2022,374255,115823,213969,44462,DAVIS
112023,11,2023,378369,115130,216713,46527,DAVIS
112024,11,2024,382201,114328,219443,48430,DAVIS
112025,11,2025,385800,113443,221990,50367,DAVIS
112026,11,2026,389622,112808,224653,52162,DAVIS
112027,11,2027,393539,112322,227310,53908,DAVIS
112028,11,2028,397595,112070,230060,55465,DAVIS
112029,11,2029,401763,112363,232533,56867,DAVIS
112030,11,2030,406046,112821,235108,58117,DAVIS
112031,11,2031,410403,113295,237858,59250,DAVIS
112032,11,2032,414864,113960,240475,60429,DAVIS
112033,11,2033,419417,114648,243160,61610,DAVIS
112034,11,2034,424009,115501,245629,62878,DAVIS
112035,11,2035,428627,116447,247848,64333,DAVIS
112036,11,2036,433272,117473,249927,65872,DAVIS
112037,11,2037,437935,118559,252192,67183,DAVIS
112038,11,2038,442606,119688,254423,68496,DAVIS
112039,11,2039,447277,120836,256439,70002,DAVIS
112040,11,2040,451924,121977,258213,71734,DAVIS
112041,11,2041,456534,123094,259776,73663,DAVIS
112042,11,2042,461066,124158,261056,75852,DAVIS
112043,11,2043,465480,125140,262165,78175,DAVIS
112044,11,2044,469809,126040,263225,80544,DAVIS
112045,11,2045,474028,126843,264152,83033,DAVIS
112046,11,2046,478120,127528,265318,85274,DAVIS
112047,11,2047,482076,128088,266709,87279,DAVIS
112048,11,2048,485913,128528,268326,89058,DAVIS
112049,11,2049,489636,128855,269854,90927,DAVIS
112050,11,2050,493263,129084,271453,92726,DAVIS
112051,11,2051,496923,129274,273350,94298,DAVIS
112052,11,2052,500489,129398,275274,95818,DAVIS
112053,11,2053,503961,129473,277137,97351,DAVIS
112054,11,2054,507358,129524,278718,99117,DAVIS
112055,11,2055,510712,129581,280309,100822,DAVIS
112056,11,2056,514047,129667,281783,102597,DAVIS
112057,11,2057,517388,129803,283621,103964,DAVIS
112058,11,2058,520746,130009,285659,105078,DAVIS
112059,11,2059,524132,130298,287875,105959,DAVIS
112060,11,2060,527545,130677,290081,106787,DAVIS
112061,11,2061,530993,131152,291940,107902,DAVIS
112062,11,2062,534466,131719,293387,109359,DAVIS
112063,11,2063,537947,132370,295025,110552,DAVIS
112064,11,2064,541440,133101,296494,111845,DAVIS
112065,11,2065,544958,133907,297875,113176,DAVIS
132010,13,2010,18721,6357,10368,1996,DUCHESNE
132011,13,2011,19020,6454,10547,2019,DUCHESNE
132012,13,2012,19696,6727,10894,2075,DUCHESNE
132013,13,2013,20283,7014,11140,2129,DUCHESNE
132014,13,2014,20577,7187,11209,2181,DUCHESNE
132015,13,2015,20821,7331,11262,2228,DUCHESNE
132016,13,2016,20608,7268,11077,2263,DUCHESNE
132017,13,2017,21134,7470,11304,2360,DUCHESNE
132018,13,2018,21727,7684,11584,2459,DUCHESNE
132019,13,2019,22236,7874,11816,2545,DUCHESNE
132020,13,2020,22653,8027,11984,2642,DUCHESNE
132021,13,2021,23044,8127,12166,2751,DUCHESNE
132022,13,2022,23403,8231,12283,2889,DUCHESNE
132023,13,2023,23732,8306,12393,3033,DUCHESNE
132024,13,2024,24018,8352,12497,3169,DUCHESNE
132025,13,2025,24277,8377,12606,3294,DUCHESNE
132026,13,2026,24526,8352,12777,3397,DUCHESNE
132027,13,2027,24764,8349,12913,3502,DUCHESNE
132028,13,2028,24991,8310,13073,3607,DUCHESNE
132029,13,2029,25206,8321,13190,3695,DUCHESNE
132030,13,2030,25422,8311,13353,3759,DUCHESNE
132031,13,2031,25636,8296,13522,3818,DUCHESNE
132032,13,2032,25866,8314,13688,3863,DUCHESNE
132033,13,2033,26104,8333,13870,3901,DUCHESNE
132034,13,2034,26348,8411,13990,3947,DUCHESNE
132035,13,2035,26596,8476,14133,3987,DUCHESNE
132036,13,2036,26849,8553,14255,4041,DUCHESNE
132037,13,2037,27106,8637,14371,4098,DUCHESNE
132038,13,2038,27366,8729,14486,4151,DUCHESNE
132039,13,2039,27629,8825,14598,4206,DUCHESNE
132040,13,2040,27893,8925,14701,4267,DUCHESNE
132041,13,2041,28158,9027,14789,4342,DUCHESNE
132042,13,2042,28420,9127,14849,4444,DUCHESNE
132043,13,2043,28679,9225,14914,4541,DUCHESNE
132044,13,2044,28933,9316,14957,4659,DUCHESNE
132045,13,2045,29178,9399,14965,4814,DUCHESNE
132046,13,2046,29412,9471,14977,4963,DUCHESNE
132047,13,2047,29637,9533,15015,5089,DUCHESNE
132048,13,2048,29852,9584,15076,5192,DUCHESNE
132049,13,2049,30059,9625,15130,5305,DUCHESNE
132050,13,2050,30259,9657,15171,5431,DUCHESNE
132051,13,2051,30454,9683,15207,5564,DUCHESNE
132052,13,2052,30645,9705,15270,5670,DUCHESNE
132053,13,2053,30833,9724,15339,5770,DUCHESNE
132054,13,2054,31020,9742,15390,5888,DUCHESNE
132055,13,2055,31205,9761,15486,5958,DUCHESNE
132056,13,2056,31390,9782,15584,6025,DUCHESNE
132057,13,2057,31577,9807,15682,6087,DUCHESNE
132058,13,2058,31767,9838,15779,6149,DUCHESNE
132059,13,2059,31959,9874,15898,6187,DUCHESNE
132060,13,2060,32154,9917,16048,6189,DUCHESNE
132061,13,2061,32353,9966,16183,6204,DUCHESNE
132062,13,2062,32553,10020,16292,6241,DUCHESNE
132063,13,2063,32752,10078,16429,6245,DUCHESNE
132064,13,2064,32952,10140,16554,6258,DUCHESNE
132065,13,2065,33153,10206,16658,6289,DUCHESNE
152010,15,2010,11012,3503,6137,1372,EMERY
152011,15,2011,11128,3529,6203,1397,EMERY
152012,15,2012,10964,3462,6056,1446,EMERY
152013,15,2013,10945,3428,6021,1497,EMERY
152014,15,2014,10844,3358,5933,1553,EMERY
152015,15,2015,10659,3260,5803,1597,EMERY
152016,15,2016,10573,3180,5739,1654,EMERY
152017,15,2017,10711,3204,5800,1706,EMERY
152018,15,2018,10851,3214,5863,1774,EMERY
152019,15,2019,10983,3228,5918,1837,EMERY
152020,15,2020,11094,3214,5977,1903,EMERY
152021,15,2021,11206,3208,6026,1972,EMERY
152022,15,2022,11307,3180,6089,2038,EMERY
152023,15,2023,11396,3152,6126,2118,EMERY
152024,15,2024,11477,3109,6187,2181,EMERY
152025,15,2025,11550,3063,6240,2246,EMERY
152026,15,2026,11635,3022,6309,2304,EMERY
152027,15,2027,11722,2989,6388,2344,EMERY
152028,15,2028,11809,2972,6458,2379,EMERY
152029,15,2029,11901,2964,6525,2411,EMERY
152030,15,2030,12000,2964,6612,2424,EMERY
152031,15,2031,12103,2981,6692,2430,EMERY
152032,15,2032,12209,3017,6754,2438,EMERY
152033,15,2033,12312,3048,6832,2431,EMERY
152034,15,2034,12412,3078,6894,2440,EMERY
152035,15,2035,12507,3097,6959,2451,EMERY
152036,15,2036,12599,3114,7019,2466,EMERY
152037,15,2037,12687,3128,7077,2483,EMERY
152038,15,2038,12772,3139,7144,2489,EMERY
152039,15,2039,12856,3151,7206,2500,EMERY
152040,15,2040,12938,3160,7280,2498,EMERY
152041,15,2041,13021,3169,7329,2522,EMERY
152042,15,2042,13103,3176,7364,2563,EMERY
152043,15,2043,13184,3180,7403,2601,EMERY
152044,15,2044,13265,3183,7427,2655,EMERY
152045,15,2045,13345,3183,7453,2708,EMERY
152046,15,2046,13424,3182,7476,2766,EMERY
152047,15,2047,13503,3179,7499,2825,EMERY
152048,15,2048,13583,3176,7521,2885,EMERY
152049,15,2049,13664,3173,7550,2940,EMERY
152050,15,2050,13749,3172,7599,2978,EMERY
152051,15,2051,13837,3172,7642,3022,EMERY
152052,15,2052,13929,3174,7688,3067,EMERY
152053,15,2053,14025,3178,7744,3103,EMERY
152054,15,2054,14123,3184,7808,3131,EMERY
152055,15,2055,14226,3194,7852,3180,EMERY
152056,15,2056,14331,3206,7878,3247,EMERY
152057,15,2057,14440,3221,7889,3330,EMERY
152058,15,2058,14551,3238,7925,3389,EMERY
152059,15,2059,14665,3256,7982,3427,EMERY
152060,15,2060,14781,3276,8030,3475,EMERY
152061,15,2061,14897,3297,8072,3528,EMERY
152062,15,2062,15014,3318,8106,3590,EMERY
152063,15,2063,15131,3340,8139,3652,EMERY
152064,15,2064,15248,3361,8193,3693,EMERY
152065,15,2065,15364,3383,8239,3743,EMERY
172010,17,2010,5171,1382,2958,831,GARFIELD
172011,17,2011,5203,1387,2982,834,GARFIELD
172012,17,2012,5226,1384,2952,889,GARFIELD
172013,17,2013,5220,1370,2934,916,GARFIELD
172014,17,2014,5194,1358,2906,930,GARFIELD
172015,17,2015,5164,1321,2853,990,GARFIELD
172016,17,2016,5190,1308,2860,1022,GARFIELD
172017,17,2017,5273,1335,2866,1072,GARFIELD
172018,17,2018,5356,1373,2883,1101,GARFIELD
172019,17,2019,5437,1405,2897,1135,GARFIELD
172020,17,2020,5516,1433,2916,1167,GARFIELD
172021,17,2021,5593,1452,2945,1196,GARFIELD
172022,17,2022,5662,1470,2967,1225,GARFIELD
172023,17,2023,5726,1476,3001,1249,GARFIELD
172024,17,2024,5786,1479,3029,1278,GARFIELD
172025,17,2025,5845,1483,3046,1316,GARFIELD
172026,17,2026,5907,1499,3068,1340,GARFIELD
172027,17,2027,5970,1524,3079,1368,GARFIELD
172028,17,2028,6031,1539,3105,1388,GARFIELD
172029,17,2029,6090,1570,3118,1402,GARFIELD
172030,17,2030,6147,1592,3156,1398,GARFIELD
172031,17,2031,6205,1618,3190,1397,GARFIELD
172032,17,2032,6265,1643,3232,1390,GARFIELD
172033,17,2033,6320,1678,3258,1384,GARFIELD
172034,17,2034,6366,1708,3275,1382,GARFIELD
172035,17,2035,6405,1717,3314,1375,GARFIELD
172036,17,2036,6440,1720,3342,1377,GARFIELD
172037,17,2037,6471,1722,3368,1381,GARFIELD
172038,17,2038,6498,1722,3395,1382,GARFIELD
172039,17,2039,6525,1722,3418,1384,GARFIELD
172040,17,2040,6551,1723,3442,1386,GARFIELD
172041,17,2041,6579,1726,3470,1384,GARFIELD
172042,17,2042,6608,1729,3494,1384,GARFIELD
172043,17,2043,6637,1734,3518,1385,GARFIELD
172044,17,2044,6667,1739,3533,1394,GARFIELD
172045,17,2045,6697,1746,3544,1407,GARFIELD
172046,17,2046,6728,1753,3556,1420,GARFIELD
172047,17,2047,6761,1761,3566,1433,GARFIELD
172048,17,2048,6795,1770,3582,1442,GARFIELD
172049,17,2049,6831,1781,3607,1443,GARFIELD
172050,17,2050,6869,1792,3634,1444,GARFIELD
172051,17,2051,6909,1804,3651,1454,GARFIELD
172052,17,2052,6951,1817,3664,1471,GARFIELD
172053,17,2053,6995,1831,3684,1480,GARFIELD
172054,17,2054,7039,1845,3691,1503,GARFIELD
172055,17,2055,7083,1859,3704,1519,GARFIELD
172056,17,2056,7129,1874,3720,1534,GARFIELD
172057,17,2057,7174,1889,3729,1556,GARFIELD
172058,17,2058,7219,1903,3744,1572,GARFIELD
172059,17,2059,7264,1916,3761,1587,GARFIELD
172060,17,2060,7308,1928,3778,1603,GARFIELD
172061,17,2061,7352,1938,3791,1622,GARFIELD
172062,17,2062,7394,1948,3801,1644,GARFIELD
172063,17,2063,7434,1956,3812,1666,GARFIELD
172064,17,2064,7472,1963,3828,1681,GARFIELD
172065,17,2065,7509,1969,3856,1684,GARFIELD
192010,19,2010,9238,2121,5864,1253,GRAND
192011,19,2011,9395,2171,5963,1261,GRAND
192012,19,2012,9529,2197,5971,1361,GRAND
192013,19,2013,9550,2186,5935,1429,GRAND
192014,19,2014,9626,2206,5923,1497,GRAND
192015,19,2015,9757,2243,5978,1536,GRAND
192016,19,2016,9933,2257,6045,1630,GRAND
192017,19,2017,10098,2271,6097,1730,GRAND
192018,19,2018,10259,2281,6149,1830,GRAND
192019,19,2019,10412,2290,6182,1940,GRAND
192020,19,2020,10554,2289,6256,2009,GRAND
192021,19,2021,10697,2287,6311,2099,GRAND
192022,19,2022,10831,2278,6360,2192,GRAND
192023,19,2023,10958,2266,6416,2275,GRAND
192024,19,2024,11076,2250,6472,2354,GRAND
192025,19,2025,11182,2237,6506,2439,GRAND
192026,19,2026,11296,2218,6561,2517,GRAND
192027,19,2027,11401,2185,6629,2587,GRAND
192028,19,2028,11503,2148,6700,2655,GRAND
192029,19,2029,11602,2109,6775,2718,GRAND
192030,19,2030,11695,2080,6851,2764,GRAND
192031,19,2031,11787,2056,6933,2797,GRAND
192032,19,2032,11885,2025,7027,2834,GRAND
192033,19,2033,11988,2007,7111,2870,GRAND
192034,19,2034,12095,2015,7171,2909,GRAND
192035,19,2035,12203,2024,7220,2960,GRAND
192036,19,2036,12311,2034,7251,3026,GRAND
192037,19,2037,12420,2047,7285,3088,GRAND
192038,19,2038,12529,2061,7318,3150,GRAND
192039,19,2039,12637,2076,7347,3214,GRAND
192040,19,2040,12745,2092,7377,3276,GRAND
192041,19,2041,12851,2107,7417,3327,GRAND
