TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
1) Total Trips,   1141514, 100.00, 100.00,    127511, 100.00, 100.00,   1476088, 100.00, 100.00,    738733, 100.00, 100.00,    435598, 100.00, 100.00,   3919445, 100.00, 100.00,
    2) Non-Motorized,     48835,   4.28,   4.28,     22089,  17.32,  17.32,    142105,   9.63,   9.63,     29993,   4.06,   4.06,    182346,  41.86,  41.86,    425368,  10.85,  10.85,
    2) Motorized,   1092679,  95.72,  95.72,    105423,  82.68,  82.68,   1333983,  90.37,  90.37,    708740,  95.94,  95.94,    253252,  58.14,  58.14,   3494076,  89.15,  89.15
        3) Auto,   1059026,  92.77,  96.92,     86345,  67.72,  81.90,   1321081,  89.50,  99.03,    704570,  95.38,  99.41,-,-,-,   3424274,  87.37,  98.00,
            4) Auto 1 pers,    863285,  75.63,  81.52,     64164,  50.32,  74.31,    431227,  29.21,  32.64,    307357,  41.61,  43.62,-,-,-,   1666033,  42.51,  48.65,
                    GP use,    853932,  74.81,  98.92,     63855,  50.08,  99.52,    430393,  29.16,  99.81,    306184,  41.45,  99.62,-,-,-,   1654364,  42.21,  99.30,
                    Toll use,      9353,   0.82,   1.08,       309,   0.24,   0.48,       835,   0.06,   0.19,      1174,   0.16,   0.38,-,-,-,     11671,   0.30,   0.70
            4) Auto 2 pers,    119187,  10.44,  11.25,     14451,  11.33,  16.74,    359295,  24.34,  27.20,    170984,  23.15,  24.27,-,-,-,    663918,  16.94,  19.39,
                    GP use,     79766,   6.99,  66.92,     11621,   9.11,  80.41,    336252,  22.78,  93.59,    151786,  20.55,  88.77,-,-,-,    579424,  14.78,  87.27,
                    HOV use,     39419,   3.45,  33.07,      2830,   2.22,  19.59,     23041,   1.56,   6.41,     19195,   2.60,  11.23,-,-,-,     84486,   2.16,  12.73,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) Auto 3+pers,     76544,   6.71,   7.23,      7730,   6.06,   8.95,    530564,  35.94,  40.16,    226227,  30.62,  32.11,-,-,-,    841065,  21.46,  24.56,
                    GP use,     51218,   4.49,  66.91,      6216,   4.88,  80.41,    496538,  33.64,  93.59,    200827,  27.19,  88.77,-,-,-,    754799,  19.26,  89.74,
                    HOV use,     25316,   2.22,  33.07,      1514,   1.19,  19.59,     34023,   2.30,   6.41,     25397,   3.44,  11.23,-,-,-,     86250,   2.20,  10.25,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) School Trips,-,-,-,-,-,-,-,-,-,-,-,-,    253252,  58.14,  58.14,    253252,   6.46,  58.14,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,    175318,  40.25,  69.23,    175318,   4.47,  69.23,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,     12796,   2.94,   5.05,     12796,   0.33,   5.05,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,     65138,  14.95,  25.72,     65138,   1.66,  25.72,
                    K-6,-,-,-,-,-,-,-,-,-,-,-,-,    130376,  29.93,  51.48,    130376,   3.33,  51.48,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     94640,  21.73,  72.59,     94640,   2.41,  72.59,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,         0,      0,      0,         0,      0,      0,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,     35736,   8.20,  27.41,     35736,   0.91,  27.41,
                    7-12,-,-,-,-,-,-,-,-,-,-,-,-,    122876,  28.21,  48.52,    122876,   3.14,  48.52,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     80678,  18.52,  65.66,     80678,   2.06,  65.66,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,     12796,   2.94,  10.41,     12796,   0.33,  10.41,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,     29402,   6.75,  23.93,     29402,   0.75,  23.93
        3) Transit,     33657,   2.95,   3.08,     19078,  14.96,  18.10,     12905,   0.87,   0.97,      4171,   0.56,   0.59,-,-,-,     69810,   1.78,   2.00
            4) Local Bus,     10750,   0.94,  31.94,      5384,   4.22,  28.22,      5524,   0.37,  42.81,      1136,   0.15,  27.24,-,-,-,     22795,   0.58,  32.65,
                    LCL Walk,      9962,   0.87,  92.67,      3803,   2.98,  70.63,      4983,   0.34,  90.20,      1074,   0.15,  94.52,-,-,-,     19821,   0.51,  86.96,
                    LCL Drive,       788,   0.07,   7.33,      1582,   1.24,  29.37,       541,   0.04,   9.80,        62,   0.01,   5.48,-,-,-,      2974,   0.08,  13.04
            4) BRT,        88,   0.01,   0.26,        26,   0.02,   0.14,        87,   0.01,   0.67,        16,   0.00,   0.38,-,-,-,       217,   0.01,   0.31,
                    BRT Walk,        74,   0.01,  84.12,        15,   0.01,  56.59,        70,   0.00,  81.09,        14,   0.00,  89.58,-,-,-,       173,   0.00,  79.96,
                    BRT Drive,        14,   0.00,  15.88,        11,   0.01,  43.41,        16,   0.00,  18.91,         2,   0.00,  10.42,-,-,-,        43,   0.00,  20.04
            4) MODE9,      1096,   0.10,   3.26,      4512,   3.54,  23.65,       941,   0.06,   7.30,       383,   0.05,   9.19,-,-,-,      6933,   0.18,   9.93,
                    MODE9 Walk,      1068,   0.09,  97.48,      4425,   3.47,  98.07,       920,   0.06,  97.68,       380,   0.05,  99.26,-,-,-,      6794,   0.17,  97.99,
                    MODE9 Drive,        28,   0.00,   2.52,        87,   0.07,   1.93,        22,   0.00,   2.32,         3,   0.00,   0.74,-,-,-,       139,   0.00,   2.01
            4) Express Bus,       542,   0.05,   1.61,        45,   0.04,   0.23,        18,   0.00,   0.14,         6,   0.00,   0.14,-,-,-,       610,   0.02,   0.87,
                    EXP Walk,        77,   0.01,  14.22,        27,   0.02,  61.04,        15,   0.00,  87.21,         5,   0.00,  75.56,-,-,-,       124,   0.00,  20.37,
                    EXP Drive,       465,   0.04,  85.78,        17,   0.01,  38.96,         2,   0.00,  12.79,         1,   0.00,  24.44,-,-,-,       486,   0.01,  79.63
            4) Light Rail,     13094,   1.15,  38.90,      5574,   4.37,  29.22,      5323,   0.36,  41.25,      2183,   0.30,  52.34,-,-,-,     26174,   0.67,  37.49,
                    LRT Walk,      8710,   0.76,  66.52,      3310,   2.60,  59.39,      4558,   0.31,  85.63,      2040,   0.28,  93.43,-,-,-,     18618,   0.48,  71.13,
                    LRT Drive,      4384,   0.38,  33.48,      2264,   1.78,  40.61,       765,   0.05,  14.37,       143,   0.02,   6.57,-,-,-,      7556,   0.19,  28.87
            4) Comm. Rail,      8069,   0.71,  23.97,      3536,   2.77,  18.54,       995,   0.07,   7.71,       435,   0.06,  10.43,-,-,-,     13035,   0.33,  18.67,
