scenarioID,tdmVersion,tdmVersionWithDate,scenarioName,scenarioGroup,scenarioYear,PERIOD,TRIPPURP,MODE,TRIPS,modeGroup
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBC,Walk,0,1: Non-Motorized
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBC,Walk,0,1a: Walk
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBC,Walk,0,0: Total
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBO,Walk,305697,1: Non-Motorized
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBO,Walk,305697,1a: Walk
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBO,Walk,305697,0: Total
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBS,Walk,88348,1: Non-Motorized
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBS,Walk,88348,1a: Walk
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBS,Walk,88348,0: Total
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBW,Walk,21720,1: Non-Motorized
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBW,Walk,21720,1a: Walk
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBW,Walk,21720,0: Total
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,NHB,Walk,106249,1: Non-Motorized
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,NHB,Walk,106249,1a: Walk
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,NHB,Walk,106249,0: Total
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,HBC,Walk,16420,1: Non-Motorized
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,HBC,Walk,16420,1a: Walk
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,HBC,Walk,16420,0: Total
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,HBO,Walk,124615,1: Non-Motorized
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,HBO,Walk,124615,1a: Walk
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,HBO,Walk,124615,0: Total
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,HBS,Walk,181417,1: Non-Motorized
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,HBS,Walk,181417,1a: Walk
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,HBS,Walk,181417,0: Total
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,HBW,Walk,25410,1: Non-Motorized
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,HBW,Walk,25410,1a: Walk
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,HBW,Walk,25410,0: Total
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,NHB,Walk,25205,1: Non-Motorized
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,NHB,Walk,25205,1a: Walk
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,NHB,Walk,25205,0: Total
10.01,v9,WF TDM v9.0.1 - official - patch 2,BY_2019,BY,2019,Ok,HBC,Walk,0,1: Non-Motorized
10.01,v9,WF TDM v9.0.1 - official - patch 2,BY_2019,BY,2019,Ok,HBC,Walk,0,1a: Walk
10.01,v9,WF TDM v9.0.1 - official - patch 2,BY_2019,BY,2019,Ok,HBC,Walk,0,0: Total
10.01,v9,WF TDM v9.0.1 - official - patch 2,BY_2019,BY,2019,Ok,HBO,Walk,303839,1: Non-Motorized
10.01,v9,WF TDM v9.0.1 - official - patch 2,BY_2019,BY,2019,Ok,HBO,Walk,303839,1a: Walk
