,CO_NAME,Category,View,ViewValue
0,Davis,ALLEMP,Difference,-838.0
1,Davis,FOOD,Difference,223.0
2,Davis,GVED,Difference,2453.0
3,Davis,HBJ,Difference,-4730.0
4,Davis,HH,Difference,15185.0
5,Davis,HH_Pop,Difference,36215.0
6,Davis,HH_Size,Difference,-0.03000000000000025
7,Davis,HLTH,Difference,6405.0
8,Davis,MANU,Difference,6602.0
9,Davis,OFFI,Difference,-5554.0
10,Davis,OTHR,Difference,-11562.0
11,Davis,RETL,Difference,1596.0
12,Davis,WSLE,Difference,-2560.0
13,Salt Lake,ALLEMP,Difference,60089.0
14,Salt Lake,FOOD,Difference,16196.0
15,Salt Lake,GVED,Difference,-10966.0
16,Salt Lake,HBJ,Difference,-17168.0
17,Salt Lake,HH,Difference,26074.0
18,Salt Lake,HH_Pop,Difference,47178.0
19,Salt Lake,HH_Size,Difference,-0.03000000000000025
20,Salt Lake,HLTH,Difference,17632.0
21,Salt Lake,MANU,Difference,834.0
22,Salt Lake,OFFI,Difference,4881.0
23,Salt Lake,OTHR,Difference,1198.0
24,Salt Lake,RETL,Difference,-1098.0
25,Salt Lake,WSLE,Difference,11188.0
26,Utah,ALLEMP,Difference,-47977.0
27,Utah,FOOD,Difference,4502.0
28,Utah,GVED,Difference,-16982.0
29,Utah,HBJ,Difference,-10347.0
30,Utah,HH,Difference,-21799.0
31,Utah,HH_Pop,Difference,-107937.0
32,Utah,HH_Size,Difference,-0.10999999999999988
33,Utah,HLTH,Difference,3987.0
34,Utah,MANU,Difference,-71.0
35,Utah,OFFI,Difference,-14923.0
36,Utah,OTHR,Difference,-18194.0
37,Utah,RETL,Difference,-4879.0
38,Utah,WSLE,Difference,-2494.0
39,Weber,ALLEMP,Difference,1438.0
40,Weber,FOOD,Difference,1647.0
41,Weber,GVED,Difference,-6224.0
42,Weber,HBJ,Difference,-3508.0
43,Weber,HH,Difference,6835.0
44,Weber,HH_Pop,Difference,19563.0
45,Weber,HH_Size,Difference,0.020000000000000018
46,Weber,HLTH,Difference,1405.0
47,Weber,MANU,Difference,6222.0
48,Weber,OFFI,Difference,-1439.0
49,Weber,OTHR,Difference,961.0
50,Weber,RETL,Difference,502.0
51,Weber,WSLE,Difference,-1183.0
52,Davis,ALLEMP,DifferencePct,-0.002897738864625801
53,Davis,FOOD,DifferencePct,0.014873607683585673
54,Davis,GVED,DifferencePct,0.04903352189817498
55,Davis,HBJ,DifferencePct,-0.3600243568275232
56,Davis,HH,DifferencePct,0.08336627357972638
57,Davis,HH_Pop,DifferencePct,0.07427742819404222
58,Davis,HH_Size,DifferencePct,-0.01119402985074636
59,Davis,HLTH,DifferencePct,0.277248723054281
60,Davis,MANU,DifferencePct,0.6319517564851154
61,Davis,OFFI,DifferencePct,-0.1445488379356115
62,Davis,OTHR,DifferencePct,-0.15589774014346583
63,Davis,RETL,DifferencePct,0.06028100921589364
64,Davis,WSLE,DifferencePct,-0.18150879183210436
65,Salt Lake,ALLEMP,DifferencePct,0.04488145690516702
66,Salt Lake,FOOD,DifferencePct,0.2679017450996609
67,Salt Lake,GVED,DifferencePct,-0.05423155479286078
68,Salt Lake,HBJ,DifferencePct,-0.27362851040770136
69,Salt Lake,HH,DifferencePct,0.043205283923041106
70,Salt Lake,HH_Pop,DifferencePct,0.03141304782070233
71,Salt Lake,HH_Size,DifferencePct,-0.012048192771084437
72,Salt Lake,HLTH,DifferencePct,0.1557170739461808
73,Salt Lake,MANU,DifferencePct,0.011629366241372098
74,Salt Lake,OFFI,DifferencePct,0.022856259833670487
75,Salt Lake,OTHR,DifferencePct,0.0035594167072721438
76,Salt Lake,RETL,DifferencePct,-0.009594295850335974
77,Salt Lake,WSLE,DifferencePct,0.12977763342574442
78,Utah,ALLEMP,DifferencePct,-0.0696860012142797
79,Utah,FOOD,DifferencePct,0.1492656079042472
80,Utah,GVED,DifferencePct,-0.16280006135439834
81,Utah,HBJ,DifferencePct,-0.29974796488890176
82,Utah,HH,DifferencePct,-0.052056691860395694
83,Utah,HH_Pop,DifferencePct,-0.08508724562392347
84,Utah,HH_Size,DifferencePct,-0.036303630363036264
85,Utah,HLTH,DifferencePct,0.06470301850048686
86,Utah,MANU,DifferencePct,-0.0024793099835876665
87,Utah,OFFI,DifferencePct,-0.12134493413563181
88,Utah,OTHR,DifferencePct,-0.11776814033270762
89,Utah,RETL,DifferencePct,-0.07073167195813218
90,Utah,WSLE,DifferencePct,-0.11099737415995371
91,Weber,ALLEMP,DifferencePct,0.007477432505511876
92,Weber,FOOD,DifferencePct,0.18545208872874677
93,Weber,GVED,DifferencePct,-0.1818288051416886
94,Weber,HBJ,DifferencePct,-0.407906976744186
95,Weber,HH,DifferencePct,0.049216921692169215
96,Weber,HH_Pop,DifferencePct,0.05728114404174206
97,Weber,HH_Size,DifferencePct,0.008130081300813016
98,Weber,HLTH,DifferencePct,0.06709967047136922
99,Weber,MANU,DifferencePct,0.46676669167291823
100,Weber,OFFI,DifferencePct,-0.08469189570949326
101,Weber,OTHR,DifferencePct,0.02093089103304075
102,Weber,RETL,DifferencePct,0.027867214388808705
103,Weber,WSLE,DifferencePct,-0.12416036943744753
