Source,Subarea,CO_FIPS,CO_NAME,YEAR,TOTPOP,GQ_Pop,HH_Pop,HH,HH_Size,POP_00_17,POP_18_64,POP_65P,TYP_EMP,RET_EMP,IND_EMP,OTH_EMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,AGRI,MING,CONS,HBJ,Job_HH,WrkPop_Job
 CT_2022 ,1 - Wasatch Front,11,Davis,1990,188471,3242,185229,54111,3.42,75145,101695,11631,"78,212","14,136","13,304","50,772",85463,9824,4312,7451,5853,5964,21144,6279,17385,1403,98,3860,1890,1.58,1.19
 CT_2022 ,1 - Wasatch Front,11,Davis,1991,195088,3306,191782,56222,3.41,76829,105997,12262,"78,180","14,804","13,393","49,983",85701,10289,4515,7500,5893,5870,20817,6183,17113,1319,126,4184,1892,1.52,1.24
 CT_2022 ,1 - Wasatch Front,11,Davis,1992,201158,3356,197802,58192,3.4,78239,110043,12876,"78,518","15,319","13,751","49,448",86524,10647,4672,7701,6050,5806,20598,6116,16928,1334,131,4630,1911,1.49,1.27
 CT_2022 ,1 - Wasatch Front,11,Davis,1993,205655,3378,202277,59718,3.39,78990,113260,13405,"81,065","16,312","14,662","50,091",89985,11337,4975,8211,6451,5882,20864,6196,17149,1446,175,5310,1989,1.51,1.26
 CT_2022 ,1 - Wasatch Front,11,Davis,1994,212151,3429,208722,61838,3.38,80460,117610,14081,"86,420","17,646","15,710","53,064",96714,12264,5382,8798,6912,6230,22103,6564,18167,1604,188,6366,2136,1.56,1.22
 CT_2022 ,1 - Wasatch Front,11,Davis,1995,216054,3436,212618,63214,3.36,80902,120553,14599,"88,220","18,347","16,415","53,458",98578,12751,5596,9193,7222,6277,22270,6612,18299,1492,207,6485,2174,1.56,1.22
 CT_2022 ,1 - Wasatch Front,11,Davis,1996,219685,3436,216249,64520,3.35,81210,123364,15111,"93,070","19,766","17,262","56,042",104429,13737,6029,9668,7594,6580,23346,6931,19185,1651,173,7231,2304,1.62,1.18
 CT_2022 ,1 - Wasatch Front,11,Davis,1997,224356,3452,220904,66141,3.34,81868,126779,15709,"97,165","20,455","17,312","59,398",109676,14216,6239,9695,7617,6973,24745,7347,20333,1748,185,8152,2426,1.66,1.16
 CT_2022 ,1 - Wasatch Front,11,Davis,1998,229450,3470,225980,67899,3.33,82640,130459,16351,"99,808","21,397","17,607","60,804",112640,14871,6526,9860,7747,7138,25331,7521,20814,1674,208,8467,2483,1.66,1.16
 CT_2022 ,1 - Wasatch Front,11,Davis,1999,235364,3498,231866,69914,3.32,83661,134635,17068,"102,337","21,386","17,968","62,983",115751,14864,6522,10063,7905,7394,26238,7791,21560,1691,171,8994,2558,1.66,1.16
 CT_2022 ,1 - Wasatch Front,11,Davis,2000,240162,3508,236654,71609,3.3,84241,138199,17722,"106,681","22,323","17,962","66,396",120250,15514,6809,10060,7902,7795,27661,8213,22727,1678,163,9067,2661,1.68,1.15
 CT_2022 ,1 - Wasatch Front,11,Davis,2001,245093,3485,241608,73250,3.3,85795,141029,18269,"109,319","21,247","18,157","69,915",122324,14767,6480,10169,7988,8206,29130,8648,23931,896,259,9145,2705,1.67,1.15
 CT_2022 ,1 - Wasatch Front,11,Davis,2002,251536,3480,248056,75352,3.29,87870,144728,18938,"113,452","21,459","18,399","73,594",125964,14916,6543,10360,8039,8870,30561,8814,25349,930,136,8657,2789,1.67,1.15
 CT_2022 ,1 - Wasatch Front,11,Davis,2003,257977,3469,254508,77463,3.29,89937,148421,19619,"115,551","21,415","18,646","75,490",128379,14857,6558,10567,8079,9232,30476,9232,26550,885,179,8920,2844,1.66,1.16
