;FC,Pk_Rur,Pk_Trn,Pk_Sub,Pk_Urb,Pk_CBD,Ok_Rur,Ok_Trn,Ok_Sub,Ok_Urb,Ok_CBD,DY_Rur,DY_Trn,DY_Sub,DY_Urb,DY_CBD,Functional Class
1,0.56,0.59,0.63,0.66,0.57,0.58,0.6,0.62,0.64,0.52,0.58,0.6,0.62,0.64,0.53,Collectors & Locals
2,0.82,0.74,0.66,0.6,0.53,0.75,0.68,0.61,0.55,0.48,0.8,0.72,0.64,0.58,0.51,Minor Arterials
3,0.91,0.78,0.67,0.58,0.5,0.79,0.7,0.61,0.53,0.45,0.85,0.75,0.65,0.56,0.49,Principal Arterials
4,0.52,0.54,0.56,0.58,0.6,0.54,0.55,0.56,0.57,0.58,0.53,0.54,0.56,0.58,0.59,Expressways
5,0.61,0.64,0.71,0.79,0.87,0.47,0.48,0.5,0.55,0.63,0.62,0.64,0.69,0.76,0.84,Freeways & Ramps
