,scenarioID,PERIOD,TRIPPURP,MODE,TRIPS,tdmVersionWithDate,scenarioName,scenarioGroup,scenarioYear,modeGroup
20,1.0,pk,HBW,Auto,1013194,WF TDM v9.1.0 - official,BY_2019,BY,2019,Auto
21,1.0,pk,HBC,Auto,78716,WF TDM v9.1.0 - official,BY_2019,BY,2019,Auto
22,1.0,pk,HBO,Auto,1342263,WF TDM v9.1.0 - official,BY_2019,BY,2019,Auto
23,1.0,pk,NHB,Auto,693687,WF TDM v9.1.0 - official,BY_2019,BY,2019,Auto
24,1.0,pk,HBSch,Auto,83427,WF TDM v9.1.0 - official,BY_2019,BY,2019,Auto
25,1.0,pk,HBW,SchoolBus,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,SchoolBus
26,1.0,pk,HBC,SchoolBus,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,SchoolBus
27,1.0,pk,HBO,SchoolBus,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,SchoolBus
28,1.0,pk,NHB,SchoolBus,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,SchoolBus
29,1.0,pk,HBSch,SchoolBus,145951,WF TDM v9.1.0 - official,BY_2019,BY,2019,SchoolBus
30,1.0,pk,HBW,LCL,10118,WF TDM v9.1.0 - official,BY_2019,BY,2019,LCL
31,1.0,pk,HBW,LCL,10118,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
32,1.0,pk,HBC,LCL,5839,WF TDM v9.1.0 - official,BY_2019,BY,2019,LCL
33,1.0,pk,HBC,LCL,5839,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
34,1.0,pk,HBO,LCL,5384,WF TDM v9.1.0 - official,BY_2019,BY,2019,LCL
35,1.0,pk,HBO,LCL,5384,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
36,1.0,pk,NHB,LCL,1259,WF TDM v9.1.0 - official,BY_2019,BY,2019,LCL
37,1.0,pk,NHB,LCL,1259,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
38,1.0,pk,HBSch,LCL,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,LCL
39,1.0,pk,HBSch,LCL,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
40,1.0,pk,HBW,COR,154,WF TDM v9.1.0 - official,BY_2019,BY,2019,COR
41,1.0,pk,HBW,COR,154,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
42,1.0,pk,HBC,COR,30,WF TDM v9.1.0 - official,BY_2019,BY,2019,COR
43,1.0,pk,HBC,COR,30,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
44,1.0,pk,HBO,COR,139,WF TDM v9.1.0 - official,BY_2019,BY,2019,COR
45,1.0,pk,HBO,COR,139,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
46,1.0,pk,NHB,COR,28,WF TDM v9.1.0 - official,BY_2019,BY,2019,COR
47,1.0,pk,NHB,COR,28,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
48,1.0,pk,HBSch,COR,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,COR
49,1.0,pk,HBSch,COR,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
50,1.0,pk,HBW,BRT,1194,WF TDM v9.1.0 - official,BY_2019,BY,2019,BRT
51,1.0,pk,HBW,BRT,1194,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
52,1.0,pk,HBC,BRT,4540,WF TDM v9.1.0 - official,BY_2019,BY,2019,BRT
53,1.0,pk,HBC,BRT,4540,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
54,1.0,pk,HBO,BRT,946,WF TDM v9.1.0 - official,BY_2019,BY,2019,BRT
55,1.0,pk,HBO,BRT,946,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
56,1.0,pk,NHB,BRT,390,WF TDM v9.1.0 - official,BY_2019,BY,2019,BRT
57,1.0,pk,NHB,BRT,390,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
58,1.0,pk,HBSch,BRT,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,BRT
59,1.0,pk,HBSch,BRT,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
60,1.0,pk,HBW,EXP,818,WF TDM v9.1.0 - official,BY_2019,BY,2019,EXP
61,1.0,pk,HBW,EXP,818,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
62,1.0,pk,HBC,EXP,72,WF TDM v9.1.0 - official,BY_2019,BY,2019,EXP
63,1.0,pk,HBC,EXP,72,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
64,1.0,pk,HBO,EXP,24,WF TDM v9.1.0 - official,BY_2019,BY,2019,EXP
65,1.0,pk,HBO,EXP,24,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
66,1.0,pk,NHB,EXP,10,WF TDM v9.1.0 - official,BY_2019,BY,2019,EXP
67,1.0,pk,NHB,EXP,10,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
68,1.0,pk,HBSch,EXP,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,EXP
69,1.0,pk,HBSch,EXP,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
70,1.0,pk,HBW,LRT,12499,WF TDM v9.1.0 - official,BY_2019,BY,2019,LRT
