CO_NAME,YEAR,ModelVersion,Category,ControlTotal
Box Elder,1990,v8.3.2,TOTPOP,0.0
Box Elder,1991,v8.3.2,TOTPOP,0.0
Box Elder,1992,v8.3.2,TOTPOP,0.0
Box Elder,1993,v8.3.2,TOTPOP,0.0
Box Elder,1994,v8.3.2,TOTPOP,0.0
Box Elder,1995,v8.3.2,TOTPOP,0.0
Box Elder,1996,v8.3.2,TOTPOP,0.0
Box Elder,1997,v8.3.2,TOTPOP,0.0
Box Elder,1998,v8.3.2,TOTPOP,0.0
Box Elder,1999,v8.3.2,TOTPOP,0.0
Box Elder,2000,v8.3.2,TOTPOP,0.0
Box Elder,2001,v8.3.2,TOTPOP,0.0
Box Elder,2002,v8.3.2,TOTPOP,0.0
Box Elder,2003,v8.3.2,TOTPOP,0.0
Box Elder,2004,v8.3.2,TOTPOP,0.0
Box Elder,2005,v8.3.2,TOTPOP,0.0
Box Elder,2006,v8.3.2,TOTPOP,0.0
Box Elder,2007,v8.3.2,TOTPOP,0.0
Box Elder,2008,v8.3.2,TOTPOP,0.0
Box Elder,2009,v8.3.2,TOTPOP,0.0
Box Elder,2010,v8.3.2,TOTPOP,0.0
Box Elder,2011,v8.3.2,TOTPOP,0.0
Box Elder,2012,v8.3.2,TOTPOP,0.0
Box Elder,2013,v8.3.2,TOTPOP,0.0
Box Elder,2014,v8.3.2,TOTPOP,0.0
Box Elder,2015,v8.3.2,TOTPOP,0.0
Box Elder,2016,v8.3.2,TOTPOP,0.0
Box Elder,2017,v8.3.2,TOTPOP,0.0
Box Elder,2018,v8.3.2,TOTPOP,0.0
Box Elder,2019,v8.3.2,TOTPOP,0.0
Box Elder,2020,v8.3.2,TOTPOP,0.0
Box Elder,2021,v8.3.2,TOTPOP,0.0
Box Elder,2022,v8.3.2,TOTPOP,0.0
Box Elder,2023,v8.3.2,TOTPOP,0.0
Box Elder,2024,v8.3.2,TOTPOP,0.0
Box Elder,2025,v8.3.2,TOTPOP,0.0
Box Elder,2026,v8.3.2,TOTPOP,0.0
Box Elder,2027,v8.3.2,TOTPOP,0.0
Box Elder,2028,v8.3.2,TOTPOP,0.0
Box Elder,2029,v8.3.2,TOTPOP,0.0
Box Elder,2030,v8.3.2,TOTPOP,0.0
Box Elder,2031,v8.3.2,TOTPOP,0.0
Box Elder,2032,v8.3.2,TOTPOP,0.0
Box Elder,2033,v8.3.2,TOTPOP,0.0
Box Elder,2034,v8.3.2,TOTPOP,0.0
Box Elder,2035,v8.3.2,TOTPOP,0.0
Box Elder,2036,v8.3.2,TOTPOP,0.0
Box Elder,2037,v8.3.2,TOTPOP,0.0
Box Elder,2038,v8.3.2,TOTPOP,0.0
Box Elder,2039,v8.3.2,TOTPOP,0.0
Box Elder,2040,v8.3.2,TOTPOP,0.0
Box Elder,2041,v8.3.2,TOTPOP,0.0
Box Elder,2042,v8.3.2,TOTPOP,0.0
Box Elder,2043,v8.3.2,TOTPOP,0.0
Box Elder,2044,v8.3.2,TOTPOP,0.0
Box Elder,2045,v8.3.2,TOTPOP,0.0
Box Elder,2046,v8.3.2,TOTPOP,0.0
Box Elder,2047,v8.3.2,TOTPOP,0.0
Box Elder,2048,v8.3.2,TOTPOP,0.0
Box Elder,2049,v8.3.2,TOTPOP,0.0
Box Elder,2050,v8.3.2,TOTPOP,0.0
Box Elder,2051,v8.3.2,TOTPOP,0.0
Box Elder,2052,v8.3.2,TOTPOP,0.0
