scenarioID,MODE,NAMEID,NAME,OPERATOR,DIST,PK_HEADWAY,OK_HEADWAY,PK_TIME,OK_TIME,PK_D4_BRDA,PK_W4_BRDA,PK_4_XITB,PK_D5_BRDA,PK_W5_BRDA,PK_5_XITB,PK_D6_BRDA,PK_W6_BRDA,PK_6_XITB,PK_D7_BRDA,PK_W7_BRDA,PK_7_XITB,PK_D8_BRDA,PK_W8_BRDA,PK_8_XITB,PK_D9_BRDA,PK_W9_BRDA,PK_9_XITB,PK_D_BRDA,PK_W_BRDA,PK_BRDA,PK_XITB,OK_D4_BRDA,OK_W4_BRDA,OK_4_XITB,OK_D5_BRDA,OK_W5_BRDA,OK_5_XITB,OK_D6_BRDA,OK_W6_BRDA,OK_6_XITB,OK_D7_BRDA,OK_W7_BRDA,OK_7_XITB,OK_D8_BRDA,OK_W8_BRDA,OK_8_XITB,OK_D9_BRDA,OK_W9_BRDA,OK_9_XITB,OK_D_BRDA,OK_W_BRDA,OK_BRDA,OK_XITB,DY_D4_BRDA,DY_W4_BRDA,DY_4_XITB,DY_D5_BRDA,DY_W5_BRDA,DY_5_XITB,DY_D6_BRDA,DY_W6_BRDA,DY_6_XITB,DY_D7_BRDA,DY_W7_BRDA,DY_7_XITB,DY_D8_BRDA,DY_W8_BRDA,DY_8_XITB,DY_D9_BRDA,DY_W9_BRDA,DY_9_XITB,DY_D_BRDA,DY_W_BRDA,DY_BRDA,DY_XITB
9.06,5,72.0,S1,0,10.72,15,15,51.15,47.87,0.0,0.0,0.0,1.35,1542.53,1543.88,0.01,0.07,0.08,0.0,9.88,9.88,0.0,0.0,0.0,0.0,2.93,2.93,1.36,1555.41,1556.77,1556.77,0.0,0.0,0.0,0.41,1553.0,1553.41,0.0,0.0,0.0,0.0,12.83,12.83,0.0,0.0,0.0,0.0,3.2,3.2,0.41,1569.03,1569.44,1569.44,0.0,0.0,0.0,1.76,3095.53,3097.29,0.01,0.07,0.08,0.0,22.71,22.71,0.0,0.0,0.0,0.0,6.13,6.13,1.77,3124.44,3126.21,3126.21
9.07,5,72.0,S1,0,10.72,15,15,53.43,50.99,0.0,0.0,0.0,0.65,1750.38,1751.03,0.0,0.04,0.04,0.0,12.7,12.7,0.0,0.0,0.0,0.0,3.26,3.26,0.65,1766.38,1767.03,1767.03,0.0,0.0,0.0,0.21,1678.58,1678.79,0.0,0.0,0.0,0.0,15.3,15.3,0.0,0.0,0.0,0.0,3.56,3.56,0.21,1697.44,1697.65,1697.65,0.0,0.0,0.0,0.86,3428.96,3429.82,0.0,0.04,0.04,0.0,28.0,28.0,0.0,0.0,0.0,0.0,6.82,6.82,0.86,3463.82,3464.68,3464.68
9.08,5,81.0,S1,0,10.72,15,15,57.03,49.5,0.0,0.0,0.0,0.5,1730.05,1730.55,0.0,0.02,0.02,0.0,21.27,21.27,0.0,0.0,0.0,0.0,3.04,3.04,0.5,1754.38,1754.88,1754.88,0.0,0.0,0.0,0.28,1890.26,1890.54,0.0,0.0,0.0,0.0,21.89,21.89,0.0,0.0,0.0,0.0,3.12,3.12,0.28,1915.27,1915.55,1915.55,0.0,0.0,0.0,0.78,3620.31,3621.09,0.0,0.02,0.02,0.0,43.16,43.16,0.0,0.0,0.0,0.0,6.16,6.16,0.78,3669.65,3670.43,3670.43
9.09,4,48.0,S1,0,10.72,15,15,50.49,47.47,1.05,943.19,944.24,0.02,9.8,9.82,0.0,0.31,0.31,0.07,41.07,41.14,0.0,5.27,5.27,0.0,0.0,0.0,1.14,999.64,1000.78,1000.78,1.08,903.06,904.14,0.03,12.37,12.4,0.0,0.0,0.0,0.07,46.26,46.33,0.0,5.3,5.3,0.0,0.0,0.0,1.18,966.99,968.17,968.17,2.13,1846.25,1848.38,0.05,22.17,22.22,0.0,0.31,0.31,0.14,87.33,87.47,0.0,10.57,10.57,0.0,0.0,0.0,2.32,1966.63,1968.95,1968.95
9.1,4,48.0,S1,0,10.72,15,15,52.68,48.01,0.89,946.59,947.48,0.02,9.88,9.9,0.0,0.31,0.31,0.09,50.42,50.51,0.0,5.7,5.7,0.0,0.0,0.0,1.0,1012.9,1013.9,1013.9,1.1,974.32,975.42,0.03,12.51,12.54,0.0,0.0,0.0,0.07,55.32,55.39,0.0,5.59,5.59,0.0,0.0,0.0,1.2,1047.74,1048.94,1048.94,1.99,1920.91,1922.9,0.05,22.39,22.44,0.0,0.31,0.31,0.16,105.74,105.9,0.0,11.29,11.29,0.0,0.0,0.0,2.2,2060.64,2062.84,2062.84
9.11,4,48.0,S1,0,10.72,15,15,54.45,48.58,0.9,982.75,983.65,0.01,10.49,10.5,0.0,0.3,0.3,0.1,60.53,60.63,0.0,6.88,6.88,0.0,0.0,0.0,1.01,1060.95,1061.96,1061.96,1.17,1055.96,1057.13,0.03,14.22,14.25,0.0,0.0,0.0,0.07,63.74,63.81,0.0,6.64,6.64,0.0,0.0,0.0,1.27,1140.56,1141.83,1141.83,2.07,2038.71,2040.78,0.04,24.71,24.75,0.0,0.3,0.3,0.17,124.27,124.44,0.0,13.52,13.52,0.0,0.0,0.0,2.28,2201.51,2203.79,2203.79
9.13,5,69.0,S1,0,10.72,15,15,51.25,51.41,0.0,0.0,0.0,0.59,1512.57,1513.16,0.01,0.1,0.11,0.82,17.34,18.16,0.0,0.0,0.0,0.0,0.82,0.82,1.42,1530.83,1532.25,1532.25,0.0,0.0,0.0,0.17,1417.74,1417.91,0.0,0.0,0.0,0.38,18.39,18.77,0.0,0.0,0.0,0.0,1.04,1.04,0.55,1437.17,1437.72,1437.72,0.0,0.0,0.0,0.76,2930.31,2931.07,0.01,0.1,0.11,1.2,35.73,36.93,0.0,0.0,0.0,0.0,1.86,1.86,1.97,2968.0,2969.97,2969.97
9.15,5,72.0,S1,0,10.72,15,15,53.67,48.68,0.0,0.0,0.0,0.66,1762.97,1763.63,0.0,0.05,0.05,0.25,13.95,14.2,0.0,0.0,0.0,0.0,3.36,3.36,0.91,1780.33,1781.24,1781.24,0.0,0.0,0.0,0.34,1831.12,1831.46,0.0,0.0,0.0,0.07,16.53,16.6,0.0,0.0,0.0,0.0,3.8,3.8,0.41,1851.45,1851.86,1851.86,0.0,0.0,0.0,1.0,3594.09,3595.09,0.0,0.05,0.05,0.32,30.48,30.8,0.0,0.0,0.0,0.0,7.16,7.16,1.32,3631.78,3633.1,3633.1
9.16,5,81.0,S1,0,10.72,15,15,56.54,49.45,0.0,0.0,0.0,0.49,1747.09,1747.58,0.0,0.02,0.02,0.0,18.76,18.76,0.0,0.0,0.0,0.0,3.35,3.35,0.49,1769.22,1769.71,1769.71,0.0,0.0,0.0,0.27,1905.14,1905.41,0.0,0.0,0.0,0.0,21.62,21.62,0.0,0.0,0.0,0.0,3.18,3.18,0.27,1929.94,1930.21,1930.21,0.0,0.0,0.0,0.76,3652.23,3652.99,0.0,0.02,0.02,0.0,40.38,40.38,0.0,0.0,0.0,0.0,6.53,6.53,0.76,3699.16,3699.92,3699.92
9.18,4,48.0,S1,0,10.72,15,15,49.36,47.17,1.01,922.11,923.12,0.02,9.46,9.48,0.0,0.31,0.31,0.07,37.96,38.03,0.0,5.04,5.04,0.0,0.0,0.0,1.1,974.88,975.98,975.98,1.12,869.79,870.91,0.03,12.24,12.27,0.0,0.0,0.0,0.06,41.86,41.92,0.0,5.13,5.13,0.0,0.0,0.0,1.21,929.02,930.23,930.23,2.13,1791.9,1794.03,0.05,21.7,21.75,0.0,0.31,0.31,0.13,79.82,79.95,0.0,10.17,10.17,0.0,0.0,0.0,2.31,1903.9,1906.21,1906.21
