scenarioID,tdmVersion,tdmVersionWithDate,scenarioName,scenarioGroup,scenarioYear,PERIOD,TRIPPURP,MODE,TRIPS
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBC,Walk,0
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBC,Bike,0
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBC,Auto,0
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBC,SchoolBus,0
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBC,LCL,0
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBC,COR,0
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBC,BRT,0
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBC,EXP,0
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBC,LRT,0
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBC,CRT,0
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBO,Walk,305697
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBO,Bike,59165
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBO,Auto,2754449
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBO,SchoolBus,0
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBO,LCL,9903
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBO,COR,261
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBO,BRT,944
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBO,EXP,0
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBO,LRT,9727
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBO,CRT,2444
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBS,Walk,88348
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBS,Bike,25891
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBS,Auto,40351
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBS,SchoolBus,71027
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBS,LCL,0
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBS,COR,0
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBS,BRT,0
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBS,EXP,0
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBS,LRT,0
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBS,CRT,0
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBW,Walk,21720
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBW,Bike,10567
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBW,Auto,575167
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBW,SchoolBus,0
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBW,LCL,5478
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBW,COR,85
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBW,BRT,970
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBW,EXP,0
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBW,LRT,6430
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBW,CRT,2585
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,NHB,Walk,106249
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,NHB,Bike,10902
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,NHB,Auto,1530944
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,NHB,SchoolBus,0
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,NHB,LCL,2335
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,NHB,COR,59
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,NHB,BRT,800
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,NHB,EXP,0
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,NHB,LRT,4965
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,NHB,CRT,783
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,HBC,Walk,16420
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,HBC,Bike,5821
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,HBC,Auto,78352
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,HBC,SchoolBus,0
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,HBC,LCL,5779
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,HBC,COR,29
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,HBC,BRT,4611
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,HBC,EXP,56
9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,HBC,LRT,5768
