Table,Parameter,v9 Value,v8 Value,Notes
TAZ,UsedZones,3629,2881,Highest TAZ number used by model
TAZ,,,,
TAZ,BoxElderRange,1-153,1-140,Box Elder County Range
TAZ,WeberRange,154-581,141-423,Weber County Range
TAZ,DavisRange,582-905,424-654,Davis County Range
TAZ,SLRange,906-2216,655-1788,Salt Lake County Range
TAZ,UtahRange,2217-3546,1789-2881,Utah County Range
TAZ,,,,
TAZ,Dummyzones,3547-3600,2882-3400,Placeholder for future TAZ splits
TAZ,,,,
TAZ,Externalzones,3601-3629,"136-140, 421-423, 1782-1788, 2874-2881",External zones
TAZ,NorthBC,3604-3606,"138, 139, 140",North Brigham City external zones
HighwayNodes,HwyNodes,10000-99999,3401-999999,Highway and transit node range
CollegeZones1,WFRC Colleges,,,
CollegeZones1,Ensign (was LDSBC),1029,950,Ensign College
CollegeZones1,Westmin,1263,1150,Westminster College
CollegeZones1,UOFU_Main,1051,1075,University of Utah - Main
CollegeZones1,UOFU_Med,1007,1076,University of Utah - Medical (removed)
CollegeZones1,WSU_Main (was WSU_OGDEN),437,383,Weber State University - Main
CollegeZones1,WSU_Davis,693,525,Weber State University - Davis
CollegeZones1,WSU_West,521,290,Weber State University - West (removed)
CollegeZones1,SLCC_Main (was SLCC_TL),1580,897,Salt Lake Community College - Main
CollegeZones1,SLCC_SC,1231,1126,Salt Lake Community College - South City
CollegeZones1,SLCC_JD,1776,1493,Salt Lake Community College - Jordan
CollegeZones1,SLCC_Mead,,1206,Salt Lake Community College - Meadbrook (removed)
CollegeZones1,SLCC_ML,1886,1516,Salt Lake Community College - Miller
CollegeZones1,SLCC_LB,1085,989,Salt Lake Community College - Library (removed)
CollegeZones1,SLCC_HL,1525,1294,Salt Lake Community College - Highland (removed)
CollegeZones1,SLCC_Airp,979,746,Salt Lake Community College - Airport (removed)
CollegeZones1,SLCC_West,959,745,Salt Lake Community College - Westpointe (removed)
CollegeZones1,SLCC_HM,2031,1607,Salt Lake Community College - Herriman (removed)
CollegeZones1,,,,
CollegeZones1,MAG Colleges,,,
CollegeZones1,BYU,2939,2384,Brigham Young University - Main
CollegeZones1,UVU_Main,2848,2326,Utah Valley University - Main
CollegeZones1,UVU_Geneva,2882,2280,Utah Valley University - Geneva (removed)
CollegeZones1,UVU_Lehi (was UVU_THANKP),2606,2099,Utah Valley University - Lehi
CollegeZones1,UVU_Vine,2809,2259,Utah Valley University - Vineyard
CollegeZones1,UVU_Payson,3336,2690,Utah Valley University - Payson
CollegeZones2,colleges,"437, 521, 693, 959, 979, 1007, 1029, 1051, 1085, 1231, 1263, 1491, 1525, 1580, 1776, 1886, 2031, 2606, 2809, 2848, 2882, 2939, 3336","290, 383, 525, 897, 950, 989, 1075, 1076, 1126, 1150, 1294, 1493, 1516, 1607, 2099, 2259, 2280, 2326, 2384, 2690",
OfflineTripZones,Lagoon,781,562,
OfflineTripZones,Airport,965,742,
SpecialGeneratorZones,TempleSquare,1035,966,
SpecialGeneratorZones,SLC_Library,1147,1015,
