AgeGroup,Region,1990,2000,2010,2020,2030,2040,2050,2060,DataSource,SheetName,DirLocation
Age 0 - 17,Wasatch Front,0.357678302,0.319245454,0.314342851,0.28907826,0.243878825,0.229197442,0.227550982,0.20752273,_Source - ControlTotal_SE - 2022-08-31,chk_Age,1_Inputs\2_SEData\_ControlTotals
Age 0 - 17,Weber,0.335186201,0.309725645,0.299175912,0.27641345,0.235523012,0.216489687,0.211137854,0.190710762,_Source - ControlTotal_SE - 2022-08-32,chk_Age,1_Inputs\2_SEData\_ControlTotals
Age 0 - 17,Davis,0.398708555,0.350767399,0.34312929,0.320079578,0.256059811,0.239478008,0.238094429,0.211164258,_Source - ControlTotal_SE - 2022-08-33,chk_Age,1_Inputs\2_SEData\_ControlTotals
Age 0 - 17,Salt Lake,0.345373734,0.304310938,0.290414141,0.261107226,0.222364493,0.200659288,0.196729246,0.181741903,_Source - ControlTotal_SE - 2022-08-34,chk_Age,1_Inputs\2_SEData\_ControlTotals
Age 0 - 17,Utah,0.375729025,0.340208931,0.351670596,0.327160531,0.274082213,0.269149144,0.268781011,0.243135294,_Source - ControlTotal_SE - 2022-08-35,chk_Age,1_Inputs\2_SEData\_ControlTotals
Age 18 - 64,Wasatch Front,0.560783264,0.602012738,0.602975347,0.607706478,0.622839135,0.618542957,0.586770574,0.578270137,_Source - ControlTotal_SE - 2022-08-36,chk_Age,1_Inputs\2_SEData\_ControlTotals
Age 18 - 64,Weber,0.553748905,0.587299017,0.599032817,0.59591742,0.603462161,0.611488044,0.583436922,0.569931738,_Source - ControlTotal_SE - 2022-08-37,chk_Age,1_Inputs\2_SEData\_ControlTotals
Age 18 - 64,Davis,0.539579033,0.575440744,0.574800463,0.5769126,0.602657181,0.59634292,0.557776897,0.560167541,_Source - ControlTotal_SE - 2022-08-38,chk_Age,1_Inputs\2_SEData\_ControlTotals
Age 18 - 64,Salt Lake,0.570071592,0.614712636,0.622172645,0.626679728,0.633988968,0.636430008,0.598648273,0.5769349,_Source - ControlTotal_SE - 2022-08-39,chk_Age,1_Inputs\2_SEData\_ControlTotals
Age 18 - 64,Utah,0.554566799,0.596157053,0.583248346,0.595277738,0.622079369,0.605671267,0.585001505,0.590255578,_Source - ControlTotal_SE - 2022-08-40,chk_Age,1_Inputs\2_SEData\_ControlTotals
Age 65+,Wasatch Front,0.081538434,0.078741808,0.082681802,0.103215262,0.13328204,0.152259601,0.185678444,0.214207132,_Source - ControlTotal_SE - 2022-08-41,chk_Age,1_Inputs\2_SEData\_ControlTotals
Age 65+,Weber,0.111064894,0.102975338,0.101791271,0.127669131,0.161014827,0.172022268,0.205425224,0.239357501,_Source - ControlTotal_SE - 2022-08-42,chk_Age,1_Inputs\2_SEData\_ControlTotals
Age 65+,Davis,0.061712412,0.073791857,0.082070248,0.103007823,0.141283008,0.164179073,0.204128674,0.228668201,_Source - ControlTotal_SE - 2022-08-43,chk_Age,1_Inputs\2_SEData\_ControlTotals
Age 65+,Salt Lake,0.084554674,0.080976427,0.087413214,0.112213046,0.143646539,0.162910703,0.204622481,0.241323197,_Source - ControlTotal_SE - 2022-08-44,chk_Age,1_Inputs\2_SEData\_ControlTotals
Age 65+,Utah,0.069704176,0.063634016,0.065081057,0.077561731,0.103838418,0.12517959,0.146217484,0.166609128,_Source - ControlTotal_SE - 2022-08-45,chk_Age,1_Inputs\2_SEData\_ControlTotals
